p1,  -1344.814824,  149.337506,  -154.960678
p2,  -1272.454675,  88.558444,  -86.258805
p3,  -1273.609157,  126.758033,  -86.603764
p4,  -1274.786794,  164.740013,  -86.942739
p5,  -1307.162750,  60.056682,  -85.100299
p6,  -1308.086350,  99.235717,  -85.455848
p7,  -1309.023775,  138.360499,  -85.783392
p8,  -1309.981625,  177.357671,  -86.136403
p9,  -1310.976265,  216.214262,  -86.487977
p10,  -1342.309567,  69.791652,  -84.306268
p11,  -1342.949313,  109.710878,  -84.676966
p12,  -1343.567793,  149.689672,  -85.027996
p13,  -1344.171055,  189.701497,  -85.388722
p14,  -1344.749179,  229.740745,  -85.762523
p15,  -1376.844278,  79.184649,  -83.579769
p16,  -1377.106457,  119.796194,  -83.954865
p17,  -1377.303520,  160.581772,  -84.315198
p18,  -1377.417787,  201.496829,  -84.703749
p19,  -1377.435131,  242.640080,  -85.097286
p20,  -1410.655456,  129.387490,  -83.258962
p21,  -1410.340369,  170.809495,  -83.683213
p22,  -1409.863829,  212.544043,  -84.087377
p23,  -1273.206288,  88.388789,  -126.210122
p24,  -1274.356897,  126.625375,  -126.564040
p25,  -1275.541167,  164.601872,  -126.909380
p26,  -1307.884719,  59.845996,  -125.052657
p27,  -1308.814355,  99.021950,  -125.403775
p28,  -1309.750577,  138.184482,  -125.757715
p29,  -1310.714810,  177.191874,  -126.103647
p30,  -1311.713889,  216.035308,  -126.455605
p31,  -1343.015334,  69.565047,  -124.285542
p32,  -1343.657289,  109.489884,  -124.634368
p33,  -1344.278289,  149.473630,  -124.995282
p34,  -1344.887774,  189.480727,  -125.349868
p35,  -1345.469942,  229.536209,  -125.724467
p36,  -1377.525996,  78.919131,  -123.546925
p37,  -1377.795994,  119.533542,  -123.923200
p38,  -1377.998127,  160.320656,  -124.293504
p39,  -1378.114661,  201.238812,  -124.679311
p40,  -1378.134313,  242.383903,  -125.082404
p41,  -1411.325494,  129.084295,  -123.234336
p42,  -1411.014686,  170.508260,  -123.644864
p43,  -1410.542619,  212.243234,  -124.065094
p44,  -1273.946876,  88.219047,  -166.161426
p45,  -1275.102609,  126.440845,  -166.517006
p46,  -1276.293694,  164.432923,  -166.872562
p47,  -1308.600960,  59.634755,  -165.016938
p48,  -1309.533728,  98.841128,  -165.367104
p49,  -1310.480013,  137.974722,  -165.715096
p50,  -1311.448640,  176.993213,  -166.058816
p51,  -1312.446742,  215.853098,  -166.417462
p52,  -1343.715963,  69.321827,  -164.252397
p53,  -1344.358943,  109.251973,  -164.603799
p54,  -1344.987375,  149.244520,  -164.961760
p55,  -1345.599714,  189.256368,  -165.316458
p56,  -1346.186879,  229.326730,  -165.696264
p57,  -1378.212196,  78.642333,  -163.523638
p58,  -1378.485698,  119.255047,  -163.898822
p59,  -1378.688665,  160.045079,  -164.265685
p60,  -1378.809680,  200.987380,  -164.644965
p61,  -1378.836027,  242.142079,  -165.046654
p62,  -1411.996855,  128.805373,  -163.225042
p63,  -1411.688368,  170.220265,  -163.624754
p64,  -1411.216623,  211.942269,  -164.052172
p65,  -1344.811628,  149.374278,  -154.974299
