p1,  -1182.582978,  -106.302083,  -156.147987
p2,  -1060.466144,  -81.193430,  -158.447056
p3,  -1133.316173,  -134.442474,  -155.455004
p4,  -1133.528659,  -84.193096,  -156.481602
p5,  -1133.556143,  -33.596181,  -157.894534
p6,  -1201.660078,  -184.965687,  -152.093511
p7,  -1204.232759,  -134.670347,  -152.843760
p8,  -1207.283732,  -84.097171,  -153.771304
p9,  -1211.122490,  -33.036052,  -155.076815
p10,  -1216.256603,  18.847830,  -157.111304
p11,  -1274.556413,  -132.573589,  -150.044769
p12,  -1280.158369,  -81.293620,  -150.662426
p13,  -1287.271286,  -29.137989,  -151.621291
p14,  -1350.905758,  -76.316587,  -147.296998
p15,  -1061.099448,  -81.759591,  -198.826899
p16,  -1133.787524,  -134.902656,  -195.584418
p17,  -1133.945170,  -84.672635,  -196.626158
p18,  -1133.868332,  -34.080584,  -198.084381
p19,  -1201.918425,  -185.536527,  -192.214875
p20,  -1204.354768,  -135.285719,  -192.976654
p21,  -1207.282336,  -84.714697,  -193.971276
p22,  -1210.897872,  -33.705719,  -195.366751
p23,  -1215.710983,  18.089842,  -197.500002
p24,  -1274.400226,  -133.363746,  -190.230988
p25,  -1279.803641,  -82.143395,  -190.910669
p26,  -1286.641563,  -30.123127,  -191.950399
p27,  -1350.311610,  -77.443480,  -187.575792
p28,  -1123.077449,  -103.859413,  -121.456599
p29,  -1184.355686,  -152.959514,  -117.366539
p30,  -1188.078667,  -102.398643,  -117.484412
p31,  -1192.347300,  -51.567827,  -117.586838
p32,  -1243.433877,  -201.721408,  -113.743695
p33,  -1247.585273,  -150.894015,  -113.743473
p34,  -1252.348853,  -99.754304,  -113.709825
p35,  -1257.797062,  -48.256372,  -113.607692
p36,  -1264.104094,  3.760153,  -113.415262
p37,  -1310.018869,  -147.932724,  -110.323506
p38,  -1315.565232,  -96.209376,  -110.116235
p39,  -1321.879129,  -43.942199,  -109.859279
p40,  -1377.524614,  -91.965688,  -106.723090
p41,  -1121.956379,  -104.564223,  -161.925918
p42,  -1183.461631,  -153.756905,  -157.794676
p43,  -1187.030827,  -103.268561,  -157.947802
p44,  -1191.160679,  -52.515415,  -158.117343
p45,  -1242.719473,  -202.587729,  -154.117054
p46,  -1246.789252,  -151.828894,  -154.156557
p47,  -1251.440508,  -100.766956,  -154.175723
p48,  -1256.748785,  -49.368146,  -154.109768
p49,  -1262.956254,  2.538834,  -153.989135
p50,  -1309.322528,  -148.970896,  -150.715560
p51,  -1314.802837,  -97.336928,  -150.558687
p52,  -1321.018866,  -45.177583,  -150.319251
p53,  -1376.906896,  -93.184109,  -147.112256
p54,  -1072.751528,  -119.519884,  -97.217500
p55,  -1134.410976,  -171.128108,  -94.704699
p56,  -1135.012526,  -121.138372,  -95.302358
p57,  -1135.558473,  -71.082486,  -95.963937
p58,  -1194.592398,  -221.935414,  -92.406282
p59,  -1195.959406,  -171.942706,  -92.970872
p60,  -1197.385980,  -121.885608,  -93.548996
p61,  -1198.878219,  -71.791748,  -94.136914
p62,  -1200.472933,  -21.644970,  -94.776690
p63,  -1257.424864,  -171.913216,  -91.399432
p64,  -1259.637912,  -121.761038,  -91.924706
p65,  -1262.076005,  -71.495077,  -92.509815
p66,  -1321.602080,  -120.802135,  -90.469583
p67,  -1073.128520,  -119.942296,  -137.334902
p68,  -1134.916072,  -171.599527,  -134.793467
p69,  -1135.509179,  -121.595193,  -135.418237
p70,  -1136.022249,  -71.562418,  -136.076098
p71,  -1195.211392,  -222.416343,  -132.497982
p72,  -1196.577377,  -172.419044,  -133.062786
p73,  -1197.994396,  -122.372374,  -133.660834
p74,  -1199.491012,  -72.283711,  -134.272994
p75,  -1201.079164,  -22.141532,  -134.931622
p76,  -1258.139618,  -172.429531,  -131.478742
p77,  -1260.371300,  -122.252848,  -132.035180
p78,  -1262.825852,  -72.000375,  -132.623710
p79,  -1322.455555,  -121.298646,  -130.571064
p80,  -1054.470200,  -91.922799,  -144.232568
p81,  -1123.453609,  -145.247945,  -141.696806
p82,  -1122.957068,  -95.083063,  -142.547003
p83,  -1122.111795,  -44.734316,  -143.561152
p84,  -1189.348327,  -196.540423,  -139.137382
p85,  -1190.639946,  -146.477544,  -139.850355
p86,  -1192.068765,  -96.271087,  -140.710276
