p42,  -1041.348038,  161.530327,  -155.663894
p43,  -1040.832154,  162.068920,  -125.688527
p44,  -1068.733308,  196.872881,  -170.874299
p45,  -1016.532180,  216.294346,  -172.469620
p46,  -1012.614167,  125.562117,  -80.454341
p47,  -1066.504646,  108.984012,  -78.882971
p48,  -1040.832677,  162.031240,  -125.680009
p49,  -1068.732832,  196.876049,  -170.877165
p50,  -1016.533437,  216.293822,  -172.469062
p51,  -1012.615042,  125.553883,  -80.460546
p52,  -1066.506528,  108.984810,  -78.886380
p53,  -1040.832199,  162.035438,  -125.690319
p54,  -1068.733496,  196.873549,  -170.871764
p55,  -1016.525549,  216.281947,  -172.480684
p56,  -1012.614336,  125.557086,  -80.454753
p57,  -1066.506085,  108.985326,  -78.879671
p58,  -1040.831444,  162.032004,  -125.685911
p59,  -1068.731551,  196.883789,  -170.872334
p60,  -1016.522394,  216.293941,  -172.492796
p61,  -1012.613539,  125.566081,  -80.456516
p62,  -1066.505503,  108.984471,  -78.878545
p63,  -1040.831804,  162.030632,  -125.681700
p64,  -1068.731540,  196.875343,  -170.872194
p65,  -1016.525760,  216.271669,  -172.473942
p66,  -1012.611968,  125.552238,  -80.455374
p67,  -1066.501926,  108.980142,  -78.881968
p68,  -1040.825168,  162.044066,  -125.677508
p69,  -1068.732731,  196.881338,  -170.872789
p70,  -1016.524771,  216.269233,  -172.472898
p71,  -1012.613861,  125.553365,  -80.452786
p72,  -1066.505672,  108.983030,  -78.877823
p73,  -1040.829948,  162.028127,  -125.681829
p74,  -1068.730382,  196.879010,  -170.867871
p75,  -1016.522933,  216.279405,  -172.472128
p76,  -1012.613055,  125.549773,  -80.449193
p77,  -1066.506180,  108.966729,  -78.875877
p78,  -1040.829602,  162.032258,  -125.681958
p79,  -1068.731942,  196.878862,  -170.875070
p80,  -1016.523714,  216.287438,  -172.476868
p81,  -1012.614197,  125.552893,  -80.450526
p82,  -1066.503630,  108.978686,  -78.875648
p83,  -1040.825455,  162.031160,  -125.678682
p84,  -1068.728171,  196.884375,  -170.862032
p85,  -1016.522835,  216.271232,  -172.467827
p86,  -1012.610561,  125.554526,  -80.448263
p87,  -1066.503304,  108.972302,  -78.873712
p88,  -1040.829748,  162.029002,  -125.680591
p89,  -1068.735277,  196.878267,  -170.864682
p90,  -1016.526406,  216.270892,  -172.470397
p91,  -1012.614737,  125.546338,  -80.446408
p92,  -1066.501598,  108.968349,  -78.876685
p93,  -1040.829951,  162.034974,  -125.673672
p94,  -1068.730615,  196.883065,  -170.866338
